locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof
"Galassia, Kandarpada",Mumbai,north,operational,Kandarpada,no,Mindspace Malad,7.78,yellow,0.46,yes,yes,True,Kandarpada,0.46,6km+,0,Dahisar,0.83,18.15,7,40,3,19.2530859,72.8528338,35.0,R/N Ward,Maharashtra,1,2022-06-17,2022-06-17,high,Kandarpada,place/neighbourhood,Kandarpada,2022,2022-04-13
Gandhi Market,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,3.63,blue,7.66,yes,no,False,Dharavi,1.66,3-6km,6,King's Circle,0.43,6.15,68,55,6,19.0348858,72.8600112,10.99,F/N Ward,Maharashtra,1,2022-06-12,2022-06-12,medium,Gandhi Market Matunga,highway/bus_stop,Gandhi Market,2022,2022-04-13
"Ganpat Niketan Apartment, Khar West",Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,2.94,blue,6.22,yes,no,False,Bandra Colony,1.43,0-3km,7,Bandra Terminus,0.33,4.01,46,66,10,19.0626563,72.8381745,13.78,H/W Ward,Maharashtra,1,2022-06-20,2022-06-20,medium,Western Railway Employee Colony Bandra West,landuse/residential,Khar West,2022,2022-04-13
"Garden View Apartment, Aarey Milk Colony",Mumbai,north,operational,Aarey,yes,Nirlon Knowledge Park,1.83,red,1.93,yes,yes,True,Goregaon (East),1.54,0-3km,11,Ram Mandir,2.23,7.38,14,19,0,19.1561292,72.8707223,24.45,P/S Ward,Maharashtra,1,2022-06-16,2022-06-16,high,Aarey Milk Colony,place/suburb,Aarey Milk Colony,2022,2022-04-13
"Gaurav Excellency, Mira Road",Mumbai,north,none,Kandarpada,no,Mindspace Malad,10.97,yellow,2.85,no,no,True,Kashigaon,2.58,6km+,0,Mira Road,0.0,21.31,8,40,5,19.2816975,72.8560676,38.19,Mira,Maharashtra,1,2022-06-24,2022-06-24,medium,Mira Road,railway/station,Mira Road,2022,2022-04-13
"Gaurav Heights, Kandivali West",Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,2.4,yellow,0.54,yes,yes,True,Dahanukarwadi,0.54,0-3km,1,Kandivali,1.25,13.05,25,98,10,19.2055321,72.8399273,29.66,R/S Ward,Maharashtra,1,2022-06-30,2022-06-30,high,Kandivali West,place/suburb,Kandivali West,2022,2022-04-13
"Gemstar Symphony Apartment, Kandivali West",Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,2.4,yellow,0.54,yes,yes,True,Dahanukarwadi,0.54,0-3km,1,Kandivali,1.25,13.05,25,98,10,19.2055321,72.8399273,29.66,R/S Ward,Maharashtra,1,2022-07-06,2022-07-06,high,Kandivali West,place/suburb,Kandivali West,2022,2022-04-13
Ghatkopar,Mumbai,east,operational,Ghatkopar L1,yes,Godrej One Vikhroli,2.53,blue,1.14,yes,yes,True,Ghatkopar L1,1.14,0-3km,11,Ghatkopar,1.09,5.89,9,81,5,19.0842323,72.918635,18.39,N Ward,Maharashtra,1,2022-06-23,2022-06-23,high,Ghatkopar,place/suburb,Ghatkopar,2022,2022-04-13
Ghatkopar East,Mumbai,east,operational,Ghatkopar L1,yes,Godrej One Vikhroli,2.95,blue,0.58,yes,yes,True,Ghatkopar L1,0.58,0-3km,11,Ghatkopar,0.49,5.25,12,88,6,19.0833438,72.9123246,17.99,N Ward,Maharashtra,5,2022-04-29,2022-07-06,high,Ghatkopar East,place/suburb,Ghatkopar East,2022,2022-04-13
Ghatkopar West,Mumbai,east,operational,Jagruti Nagar,yes,Hiranandani Business Park Powai,2.37,blue,0.44,yes,yes,True,Jagruti Nagar,0.44,0-3km,12,Ghatkopar,0.59,4.4,14,87,12,19.0897439,72.9048035,18.3,Nityanand Nagar,Maharashtra,6,2022-05-10,2022-06-12,high,Ghatkopar West,place/suburb,Ghatkopar West,2022,2022-04-13
Ghatla,Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,4.34,blue,3.81,yes,no,False,Diamond Garden,0.25,3-6km,5,VNP & RC Marg Junction,1.02,6.01,42,85,17,19.0526325,72.9040237,14.57,M/W Ward,Maharashtra,1,2022-06-10,2022-06-10,high,Ghatla Village,place/neighbourhood,Ghatla,2022,2022-04-13
"Godrej Central, Chembur",Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,3.65,blue,3.7,yes,no,False,Diamond Garden,0.53,3-6km,5,VNP & RC Marg Junction,0.46,5.39,32,81,13,19.054818,72.8979713,14.48,M/W Ward,Maharashtra,1,2022-06-23,2022-06-23,high,Chembur,place/suburb,Chembur,2022,2022-04-13
